COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
ENTIDAD,Clave de la entidad federativa ,Varchar,2,Vacío._ 01 a 32
MUNICIPIO,Clave del municipio,Varchar,3,Vacío._ 001 a 570
CODIGO,Código que identifica las diversas actividades económicas bajo estudio (Gran sector._ Sector._ Subsector._ Rama._ Subrama o Clase).,Varchar,10,Vacío._ 11 a 81323
ID_ESTRATO,Clave del estrato,Varchar,2,Vacío._ 1 a 4 y 99
UE,Clave de la  unidad economica ,Varchar,8,1 a 99999999
A111A,Producción bruta total (millones de pesos): Es el valor de todos los bienes y servicios producidos o comercializados por la unidad económica como resultado del ejercicio de sus actividades._ comprendiendo el valor de los productos elaborados; el margen bruto de comercialización; las obras ejecutadas; los ingresos por la prestación de servicios._ así como el alquiler de maquinaria y equipo._ y otros bienes muebles e inmuebles; el valor de los activos fijos producidos para uso propio._ entre otros. Incluye la variación de existencias de productos en proceso. Los bienes y servicios se valoran a precios productor.,Decimal,15._3,0-999999999999999.999
A121A,Consumo intermedio (millones de pesos) : Es el importe de los bienes y servicios consumidos por la unidad económica para el desarrollo de sus actividades._ tanto los materiales que se integraron físicamente a los productos obtenidos (bienes y servicios)._ como todos aquéllos que proporcionaron las condiciones propicias para llevar a cabo la producción. Incluye los gastos por contratación de servicios de vigilancia._ intendencia._ jardinería; pagos a terceros por servicios de reparación y mantenimiento corriente; los gastos por la reparación de activos fijos para uso propio._ y aquéllos para mejorar las condiciones de trabajo. Excluye las mercancías compradas para su reventa. Los bienes y servicios se valoran a precios comprador.,Decimal,15._3,0-999999999999999.999
A131A,Valor agregado censal bruto (millones de pesos) : Es el valor de la producción que se añade durante el proceso de trabajo por la actividad creadora y de transformación del personal ocupado._ el capital y la organización (factores de la producción)._ ejercida sobre los materiales que se consumen en la realización de la actividad económica. Aritméticamente._ el Valor Agregado Censal Bruto (VACB) resulta de restar a la Producción Bruta Total el Consumo Intermedio. Se le llama bruto porque no se le ha deducido el consumo de capital fijo.,Decimal,15._3,0-999999999999999.999
A211A,Inversión total (millones de pesos) : Es el incremento en activos._ insumos y productos que experimentaron las unidades económicas durante el año de referencia. Se obtiene sumando a la Formación Bruta de Capital Fijo la variación de Existencias.,Decimal,15._3,0-999999999999999.999
A221A,Formación bruta de capital fijo (millones de pesos): Es el valor de los activos fijos comprados por la unidad económica (hayan sido nacionales o importados._ nuevos o usados)._ menos el valor de las ventas de activos fijos realizadas. Incluye como parte de las compras de activos fijos._ el valor de las renovaciones._ mejoras y reformas mayores realizadas a los activos fijos que prolongaron su vida útil en más de un año o aumentaron su productividad._ y los activos fijos producidos por la unidad económica para uso propio.,Decimal,15._3,0-999999999999999.999
A511A,Margen por reventa de mercancías (millones de pesos): Es el diferencial que obtuvo la unidad económica entre el valor de las mercancías adquiridas para la reventa que fueron vendidas y el valor de las ventas netas de mercancías adquiridas para la reventa._ considerando la variación de sus existencias.,Decimal,15._3,0-999999999999999.999
A700A,Total de gastos (millones de pesos) : Es el monto total que la unidad económica destinó al consumo de bienes._ servicios y otras erogaciones financieras._ fiscales y donaciones sin contrapartida a personas físicas y morales.,Decimal,15._3,0-999999999999999.999
A800A,Total de ingresos (millones de pesos): Es el monto total que la unidad económica obtuvo por la venta de bienes._ servicios._ intereses._ otros ingresos financieros y las donaciones recibidas sin contrapartida.,Decimal,15._3,0-999999999999999.999
H000A,Personal dependiente de la razón social total : Comprende al personal contratado directamente por esta razón social._ de planta y eventual y no remunerado._ sea o no sindicalizado._ que trabajó durante el año de referencia para la unidad económica._ sujeto a su dirección y control._ cubriendo como mínimo una tercera parte de la jornada laboral de la misma. Incluye al personal que trabajó fuera de la unidad económica bajo su control laboral y legal; trabajadores a destajo; trabajadores en huelga; personas con licencia por enfermedad._ vacaciones o permiso temporal. Excluye pensionados y jubilados; personal con licencia ilimitada y personal que trabajó exclusivamente por honorarios o comisiones sin recibir un sueldo base; así como el personal de la empresa contratada para proporcionar un servicio._ como limpieza._ jardinería o vigilancia._ entre otros.,Decimal,15._3,0-999999999999999.999
H000B,Personal dependiente de la razón social._ hombres: Comprende al personal contratado directamente por esta razón social._ de planta y eventual y no remunerado._ sea o no sindicalizado._ que trabajó durante el año de referencia para la unidad económica._ sujeto a su dirección y control._ cubriendo como mínimo una tercera parte de la jornada laboral de la misma. Incluye al personal que trabajó fuera de la unidad económica bajo su control laboral y legal; trabajadores a destajo; trabajadores en huelga; personas con licencia por enfermedad._ vacaciones o permiso temporal. Excluye pensionados y jubilados; personal con licencia ilimitada y personal que trabajó exclusivamente por honorarios o comisiones sin recibir un sueldo base; así como el personal de la empresa contratada para proporcionar un servicio._ como limpieza._ jardinería o vigilancia._ entre otros.,Decimal,15._3,0-999999999999999.999
H000C,Personal dependiente de la razón social._ mujeres: Comprende al personal contratado directamente por esta razón social._ de planta y eventual y no remunerado._ sea o no sindicalizado._ que trabajó durante el año de referencia para la unidad económica._ sujeto a su dirección y control._ cubriendo como mínimo una tercera parte de la jornada laboral de la misma. Incluye al personal que trabajó fuera de la unidad económica bajo su control laboral y legal; trabajadores a destajo; trabajadores en huelga; personas con licencia por enfermedad._ vacaciones o permiso temporal. Excluye pensionados y jubilados; personal con licencia ilimitada y personal que trabajó exclusivamente por honorarios o comisiones sin recibir un sueldo base; así como el personal de la empresa contratada para proporcionar un servicio._ como limpieza._ jardinería o vigilancia._ entre otros.,Decimal,15._3,0-999999999999999.999
H000D,Horas trabajadas por personal dependiente de la razón social (miles de horas) : Es el total de horas trabajadas en el año de referencia por el personal dependiente de la razón social._ comprende las horas normales y extraordinarias dedicadas a las actividades. Incluye tiempo de espera._ preparación de labores._ mantenimiento y limpieza. Excluye el tiempo de suspensión de labores por huelgas._ paros._ vacaciones._ licencias temporales por incapacidad y fenómenos naturales.,Decimal,15._3,0-999999999999999.999
H001A,Personal ocupado total: Comprende a todas las personas que trabajaron durante el periodo de referencia dependiendo contractualmente o no de la unidad económica._ sujetas a su dirección y control.,Decimal,15._3,0-999999999999999.999
H001B,Personal ocupado total._ hombres: Comprende a todas las personas que trabajaron durante el periodo de referencia dependiendo contractualmente o no de la unidad económica._ sujetas a su dirección y control.,Decimal,15._3,0-999999999999999.999
H001C,Personal ocupado total._ mujeres : Comprende a todas las personas que trabajaron durante el periodo de referencia dependiendo contractualmente o no de la unidad económica._ sujetas a su dirección y control.,Decimal,15._3,0-999999999999999.999
H001D,Horas trabajadas por personal ocupado total (miles de horas): Es el total de horas trabajadas en el año de referencia por el personal ocupado total._ comprende las horas normales y extraordinarias dedicadas a las actividades. Incluye tiempo de espera._ preparación de labores._ mantenimiento y limpieza. Excluye el tiempo de suspensión de labores por huelgas._ paros._ vacaciones._ licencias temporales por incapacidad y fenómenos naturales.,Decimal,15._3,0-999999999999999.999
H010A,Personal remunerado total: Comprende a todas las personas que trabajaron durante el periodo de referencia dependiendo contractualmente de la unidad económica._ sujetas a su dirección y control._ a cambio de una remuneración fija y periódica.,Decimal,15._3,0-999999999999999.999
H010B,Personal remunerado._ hombres: Comprende a todas las personas que trabajaron durante el periodo de referencia dependiendo contractualmente de la unidad económica._ sujetas a su dirección y control._ a cambio de una remuneración fija y periódica.,Decimal,15._3,0-999999999999999.999
H010C,Personal remunerado._ mujeres: Comprende a todas las personas que trabajaron durante el periodo de referencia dependiendo contractualmente de la unidad económica._ sujetas a su dirección y control._ a cambio de una remuneración fija y periódica.,Decimal,15._3,0-999999999999999.999
H010D,Horas trabajadas por personal remunerado (miles de horas) : Es el total de horas trabajadas en el año de referencia por el personal remunerado._ comprende las horas normales y extraordinarias dedicadas a las actividades. Incluye tiempo de espera._ preparación de labores._ mantenimiento y limpieza. Excluye el tiempo de suspensión de labores por huelgas._ paros._ vacaciones._ licencias temporales por incapacidad y fenómenos naturales.,Decimal,15._3,0-999999999999999.999
